S.No,Category,Product Name,Description, MRP 
68,Apparel,Toaster,GARY COOPER - Pack of 5 Message Print T-shirts Size- XL,"  1,500 "
69,Apparel,Sarees,Chhabra555 Pick Any 1 Cotton Blend Bengal Saree Red,"  1,599 "
70,Apparel,Toaster,Summer Special Combo - Pack of 5 Men's T-shirts Size-S,"  2,000 "
71,Apparel,Dusty Rose,Curllie Pack of 3 Versatile Dresses Size-M,"  1,799 "
72,Apparel,Dusty Rose,Curllie Pack of 3 Versatile Dresses Size-L,"  1,799 "
73,Apparel,Toaster,Gary Cooper Pack of 4 Men's Solid Polo T-Shirts Size-S,"  1,500 "
74,Apparel,Toaster,Gary Cooper Pack of 4 Men's Solid Polo T-Shirts Size-L,"  1,500 "
75,Apparel,Toaster,Gary Cooper Pack of 5 Typographic T-Shirts Size-S,"  1,500 "
76,Apparel,Nighty,Must Have Pack of 3 Cotton Nighties Size-M-L,"  2,097 "
77,Apparel,Toaster,Gary Cooper Pack of (3+1) Trend-Setting T-Shirts Size-S,"  1,400 "
78,Apparel,Kurtis,Curllie Swarnashree Collection Pick Any 1 Kurta & Palazzo Set Pink Size-S,"  1,499 "
79,Apparel,Kurtis,Curllie Swarnashree Collection Pick Any 1 Kurta & Palazzo Set Pink Size-L,"  1,499 "
80,Apparel,Kurtis,Curllie Swarnashree Collection Pick Any 1 Kurta & Palazzo Set Navy Blue Size-S,"  1,499 "
81,Apparel,Kurtis,Curllie Swarnashree Collection Pick Any 1 Kurta & Palazzo Set Navy Blue Size-L,"  1,499 "
82,Home Furnishing,Bedsheets,Bright Festive Collection Pack of 7 Bedsheets with 14 Pillow Covers,"  6,900 "
83,Home Furnishing,Cushions and Covers,40 Pc Sofa + Deewan set - Maroon,"  2,999 "
84,Home Furnishing,Cushions and Covers,40 Pc Sofa + Deewan set - Brown,"  2,999 "
85,Home Furnishing,Cushions and Covers,40 Pc Sofa + Deewan set - Blue,"  2,999 "
86,Apparel,Kurtis,Pick any 1 Modern Kurta Green & Red Bottom set Size-L,"  1,799 "
87,Apparel,Kurtis,Pick any 1 Modern Kurta Yellow & Red Bottom set Size-M,"  1,799 "
88,Apparel,Kurtis,Pick any 1 Modern Kurta Yellow & Red Bottom set Size-L,"  1,799 "
89,Apparel,Kurtis,Pick any 1 Modern Kurta Yellow & Red Bottom set Size-XL,"  1,799 "
90,Apparel,Kurtis,Pick any 1 Festive Ready Kurta dress Blue Size-XL,"  2,000 "
91,Apparel,Kurtis,Pick any 1 Festive Kurta & Sharara set Carrot Red Size-L,"  2,000 "
92,Apparel,Kurtis,Pick any Floral Embroidered Kurta Blue & Off White Palazzo set Size-L,"  1,799 "
93,Apparel,Kurtis,Pick any 1 Pastel Kurta & Bottom set Pink Size-M,"  1,699 "
94,Apparel,Kurtis,Pick any 1 Pastel Kurta & Bottom set Pink Size-L,"  1,699 "
95,Apparel,Kurtis,Pick any 1 Pastel Kurta & Bottom set Pink Size-XL,"  1,699 "
96,Apparel,Kurtis,Pick any 1 Pastel Kurta & Bottom set Blue Size-M,"  1,699 "
97,Apparel,Kurtis,Pick any 1 Pastel Kurta & Bottom set Blue Size-L,"  1,699 "
98,Apparel,Kurtis,Pick any 1 Pastel Kurta & Bottom set Blue Size-XL,"  1,699 "
99,Apparel,Kurtis,Pick Any 1 Brocade Pink Jacket & Blue Kurta Size-L,"  1,499 "
100,Apparel,Kurtis,Pick Any 1 Brocade Pink Jacket & Blue Kurta Size-XL,"  1,499 "
101,Apparel,Kurtis,Pick Any 1 Brocade Pink Jacket & Blue Kurta Size-XXL,"  1,499 "
102,Home Furnishing,Blanket,Diwali Collection Pack of 8 Micro Double Bedsheet with 16 Pillow  Covers,"  4,000 "
103,Home Furnishing,Blanket,Pack of 5 Double Polar Fleece Blanket,"  2,999 "
104,Home Furnishing,Blanket,Bed Cover with Matching Bedsheet - Geometric,"  2,999 "
105,Apparel,Kurtis,Jaasvi Pack of 2 Woolen Kurti with Palazzo Size-M,"  1,499 "
106,Apparel,Kurtis,Jaasvi Pack of 2 Woolen Kurti with Palazzo Size-L,"  1,499 "
107,Apparel,Kurtis,Jaasvi Pack of 2 Woolen Kurti with Palazzo Size-XL,"  1,499 "
108,Apparel,Shawls,Royal Shawls Everyday Dressy - Pack of 3 Shawls,"  2,100 "
109,Apparel,Sweat Shirt,Gary Cooper Pack of 2 Men's Camo Jacket & Sweatshirt Size-L,"  1,699 "
110,Apparel,Sweat Shirt,Gary Cooper Pack of 2 Men's Camo Jacket & Sweatshirt Size-XL,"  1,699 "
111,Apparel,Shawls,Royal Shawls Pack of 3 Warm and Stylish Shawls,"  2,100 "
112,Apparel,Kurtis,Wool Kraft Pick Any 1 Woolen Kurta With Palazzo Set Maroon Size-L,"  1,899 "
113,Apparel,Kurtis,Jaasvi Pack of 2 Woolen Kurtas & 2 Stolls-S,"  1,599 "
114,Apparel,Kurtis,Jaasvi Pack of 2 Woolen Kurtas & 2 Stolls-M,"  1,599 "
115,Apparel,Kurtis,Jaasvi Pack of 2 Woolen Kurtas & 2 Stolls-L,"  1,599 "
116,Apparel,Kurtis,Jaasvi Pack of 2 Woolen Kurtas & 2 Stolls-XL,"  1,599 "
117,Apparel,Dusty Rose,Gary Cooper Pack of 2 Women's Winter Dresses-XL,"  1,500 "
118,Apparel,Sweater,Jaasvi Pack of 3 Sweaters-L,"  1,800 "
119,Apparel,Sweater,Jaasvi Pack of 3 Sweaters-XL,"  1,800 "
120,Home Furnishing,Bedsheets,Aurome micro fibre double bedsheet with 2 pillow covers-orange and white print(217A9383),"  1,299 "
121,Home Furnishing,Bedsheets,Aurome premium micro fibre double bedsheet with 2 pillow covers-motif print (217A9442),"  1,499 "
122,Home Furnishing,Bedsheets,Aurome premium micro fibre double bedsheet with 2 pillow covers-motif print (217A9421),"  1,499 "
123,Home Furnishing,Bedsheets,Aurome premium micro fibre double bedsheet with 2 pillow covers-multicolor print (217A9443),"  1,499 "
124,Home Furnishing,Bedsheets,Aurome premium micro fibre double bedsheet with 2 pillow covers-leaf andfloral print (217A9435),"  1,499 "
125,Home Furnishing,Bedsheets,Aurome premium micro fibre double bedsheet with 2 pillow covers-blue floral print  (217A9437),"  1,499 "
126,Home Furnishing,Bedsheets,Aurome premium micro fibre double bedsheet with 2 pillow covers-floral print (217A9420),"  1,499 "
127,Home Furnishing,Bedsheets,Aurome premium micro fibre double bedsheet with 2 pillow covers-checkered print (217A9426),"  1,499 "
128,Apparel,Pants,Curllie Pack of 3 Smart Casual Pants-XL,"  2,199 "
129,Apparel,Pants,Curllie Pack of 3 Smart Casual Pants-XXL,"  2,199 "
130,Apparel,Sweat Shirt,Gary Cooper Pack Of 3 Women's Fashion Sweatshirts-XL,"  2,100 "
131,Apparel,Sweat Shirt,Gary Cooper Pack Of 3 Women's Fashion Sweatshirts- XXL,"  2,100 "
132,Apparel,Sweat Shirt,Gary Cooper Pack Of 3 Men's Sweatshirts-S,"  2,100 "
133,Apparel,Sweat Shirt,Gary Cooper Pack Of 3 Men's Sweatshirts-M,"  2,100 "
134,Apparel,Sweat Shirt,Gary Cooper Pack Of 3 Womens Trendy Sweatshirt Sweatshirts-XL,"  2,100 "
135,Apparel,Sweat Shirt,Gary Cooper Pack Of 3 Womens Trendy Sweatshirt Sweatshirts-XXL,"  2,100 "
136,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-018,  699 
137,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-002,  699 
138,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-006,  699 
139,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-003,  699 
140,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-004,  699 
141,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-012,  699 
142,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-017,  699 
143,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-008,  699 
144,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-011,  699 
145,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-001,  699 
146,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-015,  699 
147,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-019,  699 
148,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-014,  699 
149,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-021,  799 
150,Home Furnishing,Curtain,Aurome Long Door Curtain Set of 2[9x 4Ft]Digital 3D Graphic Printed Polyester Long Crush Steel Rings,"  2,999 "
151,Home Furnishing,Curtain,Aurome Window Curtain Set of 2[5x 4Ft]Digital 3D Graphic Printed Polyester Long Crush Steel Rings,"  2,199 "
152,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-024,  799 
153,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-027,  799 
154,Home Furnishing,Curtain,Aurome Window Curtain Set of 2 [5x 4Ft]Digital 3D Graphic Printed Polyester Long Crush Steel Rings,"  2,199 "
155,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-009,  799 
156,Home Furnishing,Curtain,Aurome Door Curtain Set of 2[7x 4Ft]Digital 3D Graphic Printed Polyester Long Crush Steel Rings,"  2,499 "
157,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-022,  799 
158,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-023,  799 
159,Home Furnishing,Curtain,Aurome Long Door Curtain Set of 2 [9x 4Ft] 3D Graphic Printed Polyester Long Crush Steel Rings,"  2,999 "
160,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-007,  799 
161,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-013,  599 
162,Accessories,Bags,Aurome Premium Laundry Bags for your dirty clothes Perfect solution to your storage needs-016,  599 
163,Apparel,Kurtis,Jaasvi Pack of 3 Woolen Kurtas -M,"  1,899 "
164,Apparel,Kurtis,Jaasvi Pack of 3 Woolen Kurtas -L,"  1,899 "
165,Apparel,Kurtis,Jaasvi Pack of 3 Woolen Kurtas -XL,"  1,899 "
166,Apparel,Dusty Rose,Curllie All Set to Dazzle - Pack of 3 Dresses-M,"  1,599 "
167,Apparel,Dusty Rose,Curllie All Set to Dazzle - Pack of 3 Dresses-L,"  1,599 "
168,Apparel,Dusty Rose,Curllie All Set to Dazzle - Pack of 3 Dresses-XL,"  1,599 "
169,Home Furnishing,Bedsheets,Aurome premium micro fibre double bedsheet with 2 pillow covers-Geometric print(217A2858),"  1,499 "
170,Apparel,Kurtis,Wool Kraft Pick Any 1 Woolen Kurta With Bottom Set  Blue,"  1,899 "
171,Apparel,Kurtis,Wool Kraft Pick Any 1 Woolen Kurta With Bottom Set  Carrot Red,"  1,899 "
172,Apparel,Kurtis,Wool Kraft Pick Any 1 Trendy Woolen Kurta With Palazzo Set Grey,"  1,899 "
173,Home Furnishing,Bedsheets,Microfiber (90 GSM) Queen Size Bed Sheet with 2 Pillow Covers - Geomatric Maroon,"  1,299 "
174,Home Furnishing,Bedsheets,Aurome micro fibre comforter with double bedsheet & 2 pillow covers-Abstract print (217A4302),"  2,999 "
175,Home Furnishing,Bedsheets,Aurome micro fibre comforter with double bedsheet & 2 pillow covers-Star print (217A4317),"  2,999 "
176,Home Furnishing,Bedsheets,Aurome micro fibre comforter with double bedsheet & 2 pillow covers-Geometric print (217A4319),"  2,999 "
177,Home Furnishing,Bedsheets,Aurome micro fibre comforter with double bedsheet & 2 pillow covers-leafy print (217A4357),"  2,999 "
178,Home Furnishing,Bedsheets,Aurome micro fibre comforter with double bedsheet & 2 pillow covers-circular print (217A4360),"  2,999 "
179,Home Furnishing,Mats and Carpets,"Aurome Anti-Skid Bedside Cotton Runner-Geometric Print (Size-62x160 cm, 2x5 feet)","  1,999 "
180,Home Furnishing,Mats and Carpets,"Aurome Anti-Skid Bedside Cotton Runner -Polka Print(Size-62x160 cm, 2x5 feet)","  1,999 "
181,Home Furnishing,Mats and Carpets,"Aurome Anti-Skid Bedside Cotton Runner-Pebble Print (Size-62x160 cm, 2x5 feet)","  1,999 "
182,Home Furnishing,Mats and Carpets,"Aurome Anti-Skid Bedside Cotton Runner-Hexagon Print (Size-62x160 cm, 2x5 feet)","  1,999 "
183,Home Furnishing,Mats and Carpets,"Aurome Anti-Skid Bedside Cotton Runner-Leaf Print (Size-62x160 cm, 2x5 feet)","  1,999 "
184,Home Furnishing,Cushions and Covers,"Aurome Set of 5 shades of blue Cushion Cover - (Multicolour, 16 x 16 inch)",  999 
185,Home Furnishing,Towels Sets,"Aurome Anti-Skid Cotton Bath Mat/Door Mat Set of 2-Hexagon Print (Size-51x80 cm, Size- 43x62 cm)","  1,499 "
186,Home Furnishing,Towels Sets,"Aurome Anti-Skid Cotton Bath Mat/Door Mat Set of 2-Geometric Print (Size-51x80 cm, Size-43x62 cm)","  1,499 "
187,Home Furnishing,Cushions and Covers,"Aurome Set of 5 summer shade Cushion Cover - (Multicolour, 16 x 16 inch )",  999 
188,Home Furnishing,Towels Sets,"Aurome Anti-Skid Cotton Bath Mat/Door Mat Set of 2-Polka Print (Size-51x80 cm, Size-43x62 cm)","  1,499 "
189,Home Furnishing,Towels Sets,"Aurome Anti-Skid Cotton Bath Mat/Door Mat Set of 2-Animal Print (Size-51x80 cm, Size-43x62 cm)","  1,499 "
190,Home Furnishing,Cushions and Covers,"Aurome Set of 5 blue and white Cushion Cover - (Multicolour, 16 x 16 inch)",  999 
191,Home Furnishing,Towels Sets,"Aurome Anti-Skid Cotton Bath Mat/Door Mat Set of 2-Leaf Print (Size-51x80 cm, Size-43x62 cm)","  1,499 "
192,Home Furnishing,Towels Sets,"Aurome Anti-Skid Cotton Bath Mat/Door Mat Set of 2-Abstract Print (Size-51x80 cm, Size-43x62 cm)","  1,499 "
193,Home Furnishing,Cushions and Covers,"Aurome Set of 5 geometric Cushion Cover - (Multicolour, 16 x16 inch)",  999 
194,Home Furnishing,Towels Sets,"Aurome Anti-Skid Cotton Bath Mat/Door Mat Set of 2-Dog House Print(Size-51x80 cm, Size-43x62 cm)","  1,499 "
195,Home Furnishing,Mattress Protector,"Aurome Micro fiber Double bed Comforter (Colourful, 120 GSM)","  2,499 "
196,Home Furnishing,Blanket,"Aurome Reversible Double bed Comforter -Star pattern (Grey and brown , 200 GSM)","  2,999 "
197,Home Furnishing,Mattress Protector,"Aurome Micro fiber Double bed Comforter (Diamond shape, 120 GSM)","  2,499 "
198,Home Furnishing,Mattress Protector,"Aurome Micro fiber Double bed Comforter (Scribble print, 120 GSM)","  2,499 "
199,Home Furnishing,Mattress Protector,"Aurome Micro fiber Double bed Comforter ( Geometric shape, 120 GSM)","  2,499 "
200,Home Furnishing,Bedsheets,Valito Micro Fibre Single Size Bedsheet With 1 Pillow Covers Brown Motif Floral,  799 
201,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star pattern (Grey and Olive Green, 200 GSM)","  2,499 "
202,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star pattern (Blue and Sky Blue, 200 GSM)","  2,499 "
203,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star pattern (Dark Purple and Light Purple, 200 GSM)","  2,499 "
204,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star & Stripe pattern (Grey, 200 GSM)","  2,499 "
205,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star & Stripe pattern (Peach, 200 GSM)","  2,499 "
206,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star pattern (Red and Light Pink, 200 GSM)","  2,499 "
207,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star & Stripe pattern (Dark Blue, 200 GSM)","  2,499 "
208,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star pattern (Coffee and Tan, 200 GSM)","  2,499 "
209,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star pattern (Dark Maroon and Light Maroon, 200 GSM)","  2,499 "
210,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star & Stripe pattern (Sky Blue, 200 GSM)","  2,499 "
211,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star & Stripe pattern (Choklate, 200 GSM)","  2,499 "
212,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star & Stripe pattern (Maroon, 200 GSM)","  2,499 "
213,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star & Stripe pattern (Purple, 200 GSM)","  2,499 "
214,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star & Stripe pattern (Dark Grey, 200 GSM)","  2,499 "
215,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star & Stripe pattern (White and Black, 200 GSM)","  2,499 "
216,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star & Strip pattern (Red, 200 GSM)","  2,499 "
217,Home Furnishing,Bedsheets,"Aurome Reversible Single bed Comforter -Star pattern (Dark Grey and Beige, 200 GSM)","  2,499 "
218,Home Furnishing,Bedsheets,"Aurome Reversible Double bed Comforter -Star & Stripe pattern (Sky Blue , 200 GSM)","  2,999 "
219,Home Furnishing,Bedsheets,"Valito - Soft Microfiber (120 GSM) , Queen Size Double Bedsheet (237 cm x 235 cm) with 2 Matching Pillow Covers - Floral Print, Brown","  1,399 "
220,Home Furnishing,Bedsheets,"Aurome Reversible Double bed Comforter -Star & Stripe pattern (Maroon , 200 GSM)","  2,999 "
221,Home Furnishing,Bedsheets,"Aurome Reversible Double bed Comforter -Star pattern (Blue and Sky Blue , 200 GSM)","  2,999 "
222,Home Furnishing,Bedsheets,Valito Microfibre 120 TC Bedsheet (Double_Pink),"  1,399 "
223,Home Furnishing,Bedsheets,Valito Microfibre 120 TC Bedsheet (Double_Brown),"  1,399 "
224,Home Furnishing,Bedsheets,"Aurome Reversible Double bed Comforter -Star and Stripe pattern (Grey ,200 GSM)","  2,999 "
225,Home Furnishing,Bedsheets,"Aurome Reversible Double bed Comforter -Star & Stripe pattern (Red ,200 GSM)","  2,999 "
226,Home Furnishing,Bedsheets,"Aurome Reversible Double bed Comforter -Star pattern (Light Pink and Dark Pink ,200 GSM)","  2,999 "
227,Home Furnishing,Bedsheets,"Aurome Reversible Double bed Comforter -Star pattern (Dark Purple and Light Purple ,200 GSM)","  2,999 "
228,Home Furnishing,Bedsheets,Microfiber Feather Touch (120 GSM) Queen Size Bed Sheet with 2 Pillow  Covers,"  1,399 "
229,Home Furnishing,Bedsheets,"Aurome Reversible Double bed Comforter -Star and Star pattern (Red and Pink ,200 GSM)","  2,999 "
230,Home Furnishing,Cushions and Covers,Royal roots pick any 1 foil print deewan set -blue,"  2,300 "
231,Kitchen,Containers and Botteles,SNB 3 Pcs Hot & Cold Combo,"  3,250 "
232,Home Furnishing,Cushions and Covers,"Aurome Set of 5 world of ocean Cushion Cover - (Multicolour, 16 x 16 inch)",  999 
233,Home Furnishing,Cushions and Covers,"Aurome Set of 5 paisley print Cushion Cover - (Multicolour, 16 x 16 inch)",  999 
234,Home Furnishing,Cushions and Covers,"Aurome Set of 5 aquatic Cushion Cover - (Multicolour, 16 x 16 inch)",  999 
235,Home Furnishing,Bedsheets,Aurome premium micro fibre double bedsheet with 2 pillow covers-Check print,"  1,499 "
236,Home Furnishing,Bedsheets,Aurome premium micro fibre double bedsheet with 2 pillow covers-Shape print,"  1,499 "
237,Home Furnishing,Bedsheets,Aurome premium micro fibre double bedsheet with 2 pillow covers-Heart  print,"  1,499 "
238,Home Furnishing,Cushions and Covers,"Aurome Set of 5 colorful pencil print Cushion Cover - (Multicolour, 16 x 16 inch)",  999 
239,Home Furnishing,Cushions and Covers,"Aurome Set of 5 Love life Cushion Cover - (Multicolour, 16 x 16 inch)",  999 
240,Home Furnishing,Bedsheets,Royal Roots- Pick any 1 embroidered Bedsheet-Elephant,"  2,500 "
241,Home Furnishing,Bedsheets,Royal Roots- Pick any 1 embroidered Bedsheet-Camel,"  2,500 "
242,Home Furnishing,Bedsheets,Royal Roots- pack of 5 jaipuri print bedsheet,"  4,999 "
243,Kitchen,Cooker,Shagun 4 Pressure Cooker Combo with 2 Common Lids,"  3,999 "
244,Kitchen,Cooktop,Pick Any 1 Safeline Glass Cooktop (ISI Marked) - 2 Burner,"  2,999 "
245,Kitchen,Cooktop,Pick Any 1 Safeline Glass Cooktop (ISI Marked) - 3 Burner,"  3,999 "
246,Home Furnishing,Cushions and Covers,Pick Any 1 - 41 Pc Chenille Luxury Sofa + Deewan Set - Maroon,"  4,999 "
247,Home Furnishing,Cushions and Covers,Pick Any 1 - 41 Pc Chenille Luxury Sofa + Deewan Set - Brown,"  4,999 "
248,Home Furnishing,Cushions and Covers,Pick Any 1 - 41 Pc Chenille Luxury Sofa + Deewan Set - Purple,"  4,999 "
